"","mgi_symbol","ensembl_gene_id"
"571","3830403N18Rik","ENSMUSG00000031125"
"572","Was","ENSMUSG00000031165"
"573","Ebp","ENSMUSG00000031168"
"574","Igbp1","ENSMUSG00000031221"
"575","Btk","ENSMUSG00000031264"
"576","Rps6ka3","ENSMUSG00000031309"
"577","Pir","ENSMUSG00000031379"
"578","Irak1","ENSMUSG00000031392"
"579","G6pdx","ENSMUSG00000031400"
"580","Cul4a","ENSMUSG00000031446"
"581","Gas6","ENSMUSG00000031451"
"582","Angpt2","ENSMUSG00000031465"
"583","Agpat5","ENSMUSG00000031467"
"584","Thsd1","ENSMUSG00000031480"
"585","Tnfsf13b","ENSMUSG00000031497"
"586","Arhgef7","ENSMUSG00000031511"
"587","Polb","ENSMUSG00000031536"
"588","Ikbkb","ENSMUSG00000031537"
"589","Kat6a","ENSMUSG00000031540"
"590","Ank1","ENSMUSG00000031543"
"591","Sfrp1","ENSMUSG00000031548"
"592","Adam9","ENSMUSG00000031555"
"593","Slc7a2","ENSMUSG00000031596"
"594","Casp3","ENSMUSG00000031628"
"595","Tlr3","ENSMUSG00000031639"
"596","Rfx1","ENSMUSG00000031706"
"597","Il15","ENSMUSG00000031712"
"598","Hp","ENSMUSG00000031722"
"599","Il34","ENSMUSG00000031750"
"600","Cx3cl1","ENSMUSG00000031778"
"601","Ccl22","ENSMUSG00000031779"
"602","Ciapin1","ENSMUSG00000031781"
"603","Ifi30","ENSMUSG00000031838"
"604","Cbfb","ENSMUSG00000031885"
"605","Psmb10","ENSMUSG00000031897"
"606","Nfatc3","ENSMUSG00000031902"
"607","Smpd3","ENSMUSG00000031906"
"608","Bcar1","ENSMUSG00000031955"
"609","Jam3","ENSMUSG00000031990"
"610","Thy1","ENSMUSG00000032011"
"611","Ets1","ENSMUSG00000032035"
"612","Kirrel3","ENSMUSG00000032036"
"613","Tirap","ENSMUSG00000032041"
"614","Cadm1","ENSMUSG00000032076"
"615","Nlrx1","ENSMUSG00000032109"
"616","Slc37a4","ENSMUSG00000032114"
"617","Tyk2","ENSMUSG00000032175"
"618","Smarca4","ENSMUSG00000032187"
"619","Rab27a","ENSMUSG00000032202"
"620","Nedd4","ENSMUSG00000032216"
"621","Ccnb2","ENSMUSG00000032218"
"622","Myo1e","ENSMUSG00000032220"
"623","Anxa2","ENSMUSG00000032231"
"624","Rora","ENSMUSG00000032238"
"625","Irak1bp1","ENSMUSG00000032251"
"626","Ireb2","ENSMUSG00000032293"
"627","Csk","ENSMUSG00000032312"
"628","Mb21d1","ENSMUSG00000032344"
"629","Tinag","ENSMUSG00000032357"
"630","Ctsh","ENSMUSG00000032359"
"631","Plscr1","ENSMUSG00000032369"
"632","Smad3","ENSMUSG00000032402"
"633","Syncrip","ENSMUSG00000032423"
"634","Cmtm7","ENSMUSG00000032436"
"635","Tgfbr2","ENSMUSG00000032440"
"636","Nck1","ENSMUSG00000032475"
"637","Ltf","ENSMUSG00000032496"
"638","Mlh1","ENSMUSG00000032498"
"639","Myd88","ENSMUSG00000032508"
"640","Slc25a38","ENSMUSG00000032519"
"641","Trf","ENSMUSG00000032554"
"642","Mapkapk3","ENSMUSG00000032577"
"643","Mst1r","ENSMUSG00000032584"
"644","Oas1d","ENSMUSG00000032623"
"645","Flcn","ENSMUSG00000032633"
"646","Oas3","ENSMUSG00000032661"
"647","Malt1","ENSMUSG00000032688"
"648","Oas2","ENSMUSG00000032690"
"649","Nlrp3","ENSMUSG00000032691"
"650","Lmo2","ENSMUSG00000032698"
"651","Sbspon","ENSMUSG00000032719"
"652","Inppl1","ENSMUSG00000032737"
"653","Gab3","ENSMUSG00000032750"
"654","Styk1","ENSMUSG00000032899"
"655","Fkbp1a","ENSMUSG00000032966"
"656","Slc7a6os","ENSMUSG00000033106"
"657","Rnf125","ENSMUSG00000033107"
"658","Atg9a","ENSMUSG00000033124"
"659","Podxl2","ENSMUSG00000033152"
"660","Mif","ENSMUSG00000033307"
"661","Zbtb1","ENSMUSG00000033454"
"662","Arhgef5","ENSMUSG00000033542"
"663","Vav3","ENSMUSG00000033721"
"664","Tlr13","ENSMUSG00000033777"
"665","Atp7a","ENSMUSG00000033792"
"666","Tcea1","ENSMUSG00000033813"
"667","Lyl1","ENSMUSG00000034041"
"668","Farp2","ENSMUSG00000034066"
"669","Vav1","ENSMUSG00000034116"
"670","Ccnd3","ENSMUSG00000034165"
"671","Polq","ENSMUSG00000034206"
"672","Atm","ENSMUSG00000034218"
"673","Exosc4","ENSMUSG00000034259"
"674","Batf","ENSMUSG00000034266"
"675","Thoc5","ENSMUSG00000034274"
"676","Trim59","ENSMUSG00000034317"
"677","Plcg2","ENSMUSG00000034330"
"678","Lif","ENSMUSG00000034394"
"679","Gbp8","ENSMUSG00000034438"
"680","Polr3b","ENSMUSG00000034453"
"681","Ifit1","ENSMUSG00000034459"
"682","Six4","ENSMUSG00000034460"
"683","Tiparp","ENSMUSG00000034640"
"684","Cd300ld","ENSMUSG00000034641"
"685","Cd300a","ENSMUSG00000034652"
"686","Sos2","ENSMUSG00000034801"
"687","Cxcl10","ENSMUSG00000034855"
"688","Cactin","ENSMUSG00000034889"
"689","Pygo1","ENSMUSG00000034910"
"690","Zfr2","ENSMUSG00000034949"
"691","Cebpa","ENSMUSG00000034957"
"692","Dapk3","ENSMUSG00000034974"
"693","Hrh2","ENSMUSG00000034987"
"694","Eef2","ENSMUSG00000034994"
"695","Dpp4","ENSMUSG00000035000"
"696","Ccl5","ENSMUSG00000035042"
"697","Becn1","ENSMUSG00000035086"
"698","Wdr78","ENSMUSG00000035126"
"699","Mitf","ENSMUSG00000035158"
"700","Ubd","ENSMUSG00000035186"
"701","Trim13","ENSMUSG00000035235"
"702","Hectd1","ENSMUSG00000035247"
"703","Ssc5d","ENSMUSG00000035279"
"704","Wdr38","ENSMUSG00000035295"
"705","Ccl12","ENSMUSG00000035352"
"706","Ccl7","ENSMUSG00000035373"
"707","Ccl2","ENSMUSG00000035385"
"708","Sbno2","ENSMUSG00000035673"
"709","Tnfsf9","ENSMUSG00000035678"
"710","Melk","ENSMUSG00000035683"
"711","Isg15","ENSMUSG00000035692"
"712","Prkx","ENSMUSG00000035725"
"713","Polr3g","ENSMUSG00000035834"
"714","Cd276","ENSMUSG00000035914"
"715","Ptprq","ENSMUSG00000035916"
"716","H2-Q4","ENSMUSG00000035929"
"717","Fnip1","ENSMUSG00000035992"
"718","Colec12","ENSMUSG00000036103"
"719","Gpi1","ENSMUSG00000036427"
"720","42064","ENSMUSG00000036469"
"721","Card11","ENSMUSG00000036526"
"722","Fut7","ENSMUSG00000036587"
"723","H2-Aa","ENSMUSG00000036594"
"724","Anln","ENSMUSG00000036777"
"725","Wnt4","ENSMUSG00000036856"
"726","Smad6","ENSMUSG00000036867"
"727","C1qa","ENSMUSG00000036887"
"728","C1qc","ENSMUSG00000036896"
"729","Fzd8","ENSMUSG00000036904"
"730","C1qb","ENSMUSG00000036905"
"731","Unc93b1","ENSMUSG00000036908"
"732","Ttc7","ENSMUSG00000036918"
"733","Kdm1a","ENSMUSG00000036940"
"734","Rab8b","ENSMUSG00000036943"
"735","Pml","ENSMUSG00000036986"
"736","Pax1","ENSMUSG00000037034"
"737","H2-M10.6","ENSMUSG00000037130"
"738","H2-M10.5","ENSMUSG00000037246"
"739","Tacc3","ENSMUSG00000037313"
"740","Tap1","ENSMUSG00000037321"
"741","Enpp1","ENSMUSG00000037370"
"742","Spon2","ENSMUSG00000037379"
"743","Icam1","ENSMUSG00000037405"
"744","Vnn1","ENSMUSG00000037440"
"745","Mavs","ENSMUSG00000037523"
"746","H2-M11","ENSMUSG00000037537"
"747","H2-DMb2","ENSMUSG00000037548"
"748","Gch1","ENSMUSG00000037580"
"749","H2-DMa","ENSMUSG00000037649"
"750","Cdkn1c","ENSMUSG00000037664"
"751","Rtkn2","ENSMUSG00000037846"
"752","Aim2","ENSMUSG00000037860"
"753","Rcor1","ENSMUSG00000037896"
"754","Sirpa","ENSMUSG00000037902"
"755","Ddx60","ENSMUSG00000037921"
"756","Bank1","ENSMUSG00000037922"
"757","Ccr7","ENSMUSG00000037944"
"758","Nod1","ENSMUSG00000038058"
"759","Camk4","ENSMUSG00000038128"
"760","Atg5","ENSMUSG00000038160"
"761","Hand2","ENSMUSG00000038193"
"762","Tapbpl","ENSMUSG00000038213"
"763","Hoxa9","ENSMUSG00000038227"
"764","Trpm4","ENSMUSG00000038260"
"765","Ostm1","ENSMUSG00000038280"
"766","Snx10","ENSMUSG00000038301"
"767","Serpinb9f","ENSMUSG00000038327"
"768","Rras","ENSMUSG00000038387"
"769","Egr1","ENSMUSG00000038418"
"770","Otud7b","ENSMUSG00000038495"
"771","Jarid2","ENSMUSG00000038518"
"772","C1s1","ENSMUSG00000038521"
"773","C1rl","ENSMUSG00000038527"
"774","Pcid2","ENSMUSG00000038542"
"775","Nfe2l1","ENSMUSG00000038615"
"776","Polr3k","ENSMUSG00000038628"
"777","Ctss","ENSMUSG00000038642"
"778","Hoxb4","ENSMUSG00000038692"
"779","Hoxb7","ENSMUSG00000038721"
"780","Gcnt1","ENSMUSG00000038843"
"781","Itpkb","ENSMUSG00000038855"
"782","Plcl2","ENSMUSG00000038910"
"783","Bmp6","ENSMUSG00000039004"
"784","Tlr4","ENSMUSG00000039005"
"785","Adrm1","ENSMUSG00000039041"
"786","L3mbtl3","ENSMUSG00000039089"
"787","Itga9","ENSMUSG00000039115"
"788","Ifi44l","ENSMUSG00000039146"
"789","Runx2","ENSMUSG00000039153"
"790","Rbpj","ENSMUSG00000039191"
"791","Nlrc4","ENSMUSG00000039193"
"792","Il18","ENSMUSG00000039217"
"793","Stx11","ENSMUSG00000039232"
"794","Isg20","ENSMUSG00000039236"
"795","Tgfb2","ENSMUSG00000039239"
"796","Azi2","ENSMUSG00000039285"
"797","Tnfsf10","ENSMUSG00000039304"
"798","Rftn1","ENSMUSG00000039316"
"799","Picalm","ENSMUSG00000039361"
"800","Foxp3","ENSMUSG00000039521"
"801","Prex1","ENSMUSG00000039621"
"802","Batf2","ENSMUSG00000039699"
"803","Exo1","ENSMUSG00000039748"
"804","Trim14","ENSMUSG00000039853"
"805","Cited2","ENSMUSG00000039910"
"806","Pik3cd","ENSMUSG00000039936"
"807","Ptger4","ENSMUSG00000039942"
"808","Prrc2c","ENSMUSG00000040225"
"809","Gbp7","ENSMUSG00000040253"
"810","Gbp2b","ENSMUSG00000040264"
"811","Plekha1","ENSMUSG00000040268"
"812","Cdk6","ENSMUSG00000040274"
"813","Gzmg","ENSMUSG00000040284"
"814","Ddx58","ENSMUSG00000040296"
"815","Vprbp","ENSMUSG00000040325"
"816","Il7","ENSMUSG00000040329"
"817","Rc3h1","ENSMUSG00000040423"
"818","Spns2","ENSMUSG00000040447"
"819","Tlr8","ENSMUSG00000040522"
"820","Milr1","ENSMUSG00000040528"
"821","Wdr7","ENSMUSG00000040560"
"822","Cd79b","ENSMUSG00000040592"
"823","Clcf1","ENSMUSG00000040663"
"824","Lat2","ENSMUSG00000040751"
"825","Chil3","ENSMUSG00000040809"
"826","Tet2","ENSMUSG00000040943"
"827","Rps19","ENSMUSG00000040952"
"828","Mill2","ENSMUSG00000040987"
"829","Trim62","ENSMUSG00000041000"
"830","Wwp1","ENSMUSG00000041058"
"831","Fzd7","ENSMUSG00000041075"
"832","Ripk2","ENSMUSG00000041135"
"833","Brca2","ENSMUSG00000041147"
"834","Prkd2","ENSMUSG00000041187"
"835","Chd7","ENSMUSG00000041235"
"836","Lamp3","ENSMUSG00000041247"
"837","Cdk13","ENSMUSG00000041297"
"838","Inhba","ENSMUSG00000041324"
"839","Dicer1","ENSMUSG00000041415"
"840","Pik3r1","ENSMUSG00000041417"
"841","Mfsd6","ENSMUSG00000041439"
"842","Irf8","ENSMUSG00000041515"
"843","Cd1d2","ENSMUSG00000041750"
"844","Oasl1","ENSMUSG00000041827"
"845","Papd4","ENSMUSG00000042167"
"846","Lyn","ENSMUSG00000042228"
"847","Itga1","ENSMUSG00000042284"
"848","Sin3a","ENSMUSG00000042557"
"849","Sh2b3","ENSMUSG00000042594"
"850","Selk","ENSMUSG00000042682"
"851","Klhl6","ENSMUSG00000043008"
"852","Arl11","ENSMUSG00000043157"
"853","Zfp784","ENSMUSG00000043290"
"854","Tril","ENSMUSG00000043496"
"855","Ptpn11","ENSMUSG00000043733"
"856","Tnip3","ENSMUSG00000044162"
"857","Il20rb","ENSMUSG00000044244"
"858","Tlr7","ENSMUSG00000044583"
"859","Il27","ENSMUSG00000044701"
"860","AF251705","ENSMUSG00000044811"
"861","Shb","ENSMUSG00000044813"
"862","Tlr1","ENSMUSG00000044827"
"863","Fzd5","ENSMUSG00000045005"
"864","Prkce","ENSMUSG00000045038"
"865","Tlr9","ENSMUSG00000045322"
"866","Cxcr4","ENSMUSG00000045382"
"867","Hcar2","ENSMUSG00000045502"
"868","Zfp36l2","ENSMUSG00000045817"
"869","Serpinb9","ENSMUSG00000045827"
"870","Gapt","ENSMUSG00000046006"
"871","Otulin","ENSMUSG00000046034"
"872","4930430F08Rik","ENSMUSG00000046567"
"873","Bst2","ENSMUSG00000046718"
"874","Slc39a3","ENSMUSG00000046822"
"875","Rnf31","ENSMUSG00000047098"
"876","Ticam1","ENSMUSG00000047123"
"877","Cd24a","ENSMUSG00000047139"
"878","Samd9l","ENSMUSG00000047735"
"879","Cd300lf","ENSMUSG00000047798"
"880","Cxcr5","ENSMUSG00000047880"
"881","Rbm15","ENSMUSG00000048109"
"882","Arid4a","ENSMUSG00000048118"
"883","Selplg","ENSMUSG00000048163"
"884","H2-M10.4","ENSMUSG00000048231"
"885","Bcl11b","ENSMUSG00000048251"
"886","Mlf1","ENSMUSG00000048416"
"887","Cd300e","ENSMUSG00000048498"
"888","Amica1","ENSMUSG00000048534"
"889","Hoxb3","ENSMUSG00000048763"
"890","Ifnb1","ENSMUSG00000048806"
"891","Dact2","ENSMUSG00000048826"
"892","Il23r","ENSMUSG00000049093"
"893","Ccr2","ENSMUSG00000049103"
"894","C5ar1","ENSMUSG00000049130"
"895","Zfpm1","ENSMUSG00000049577"
"896","Orai1","ENSMUSG00000049686"
"897","Nkx3-2","ENSMUSG00000049691"
"898","Nlrp10","ENSMUSG00000049709"
"899","Lig4","ENSMUSG00000049717"
"900","Nlrc3","ENSMUSG00000049871"
"901","Lgr4","ENSMUSG00000050199"
"902","Lgals3","ENSMUSG00000050335"
"903","Rltpr","ENSMUSG00000050357"
"904","Il31ra","ENSMUSG00000050377"
"905","Tnfsf15","ENSMUSG00000050395"
"906","Scg2","ENSMUSG00000050711"
"907","Prkca","ENSMUSG00000050965"
"908","Plcb1","ENSMUSG00000051177"
"909","Gpr183","ENSMUSG00000051212"
"910","Jagn1","ENSMUSG00000051256"
"911","Six1","ENSMUSG00000051367"
"912","Vamp7","ENSMUSG00000051412"
"913","Cd14","ENSMUSG00000051439"
"914","Spn","ENSMUSG00000051457"
"915","Tlr6","ENSMUSG00000051498"
"916","Trim32","ENSMUSG00000051675"
"917","Sox6","ENSMUSG00000051910"
"918","Tlr11","ENSMUSG00000051969"
"919","Dock8","ENSMUSG00000052085"
"920","Pld4","ENSMUSG00000052160"
"921","Cx3cr1","ENSMUSG00000052336"
"922","Nrros","ENSMUSG00000052384"
"923","Pbx1","ENSMUSG00000052534"
"924","Adam17","ENSMUSG00000052593"
"925","Sh2d6","ENSMUSG00000052631"
"926","Jun","ENSMUSG00000052684"
"927","Oas1a","ENSMUSG00000052776"
"928","Junb","ENSMUSG00000052837"
"929","Prkcb","ENSMUSG00000052889"
"930","Hrh1","ENSMUSG00000053004"
"931","Fes","ENSMUSG00000053158"
"932","Bcl3","ENSMUSG00000053175"
"933","Raet1e","ENSMUSG00000053219"
"934","Mapk14","ENSMUSG00000053436"
"935","Sh3pxd2a","ENSMUSG00000053617"
"936","Oas1f","ENSMUSG00000053765"
"937","Krt16","ENSMUSG00000053797"
"938","Exoc6","ENSMUSG00000053799"
"939","H2-T24","ENSMUSG00000053835"
"940","Txlna","ENSMUSG00000053841"
"941","Cd8a","ENSMUSG00000053977"
"942","Iigp1","ENSMUSG00000054072"
"943","H2-T3","ENSMUSG00000054128"
"944","Gon4l","ENSMUSG00000054199"
"945","Kcnn4","ENSMUSG00000054342"
"946","Pnma1","ENSMUSG00000054383"
"947","Cklf","ENSMUSG00000054400"
"948","Atpif1","ENSMUSG00000054428"
"949","Adam10","ENSMUSG00000054693"
"950","Klf2","ENSMUSG00000055148"
"951","C1ra","ENSMUSG00000055172"
"952","Ankrd17","ENSMUSG00000055204"
"953","Cd47","ENSMUSG00000055447"
"954","Gpc3","ENSMUSG00000055653"
"955","Nod2","ENSMUSG00000055994"
"956","S100a8","ENSMUSG00000056054"
"957","S100a9","ENSMUSG00000056071"
"958","H2-T22","ENSMUSG00000056116"
"959","Ticam2","ENSMUSG00000056130"
"960","Pgm3","ENSMUSG00000056131"
"961","Cebpg","ENSMUSG00000056216"
"962","Cd248","ENSMUSG00000056481"
"963","Cebpb","ENSMUSG00000056501"
"964","Nbeal2","ENSMUSG00000056724"
"965","Nfil3","ENSMUSG00000056749"
"966","Jmjd6","ENSMUSG00000056962"
"967","Trim12c","ENSMUSG00000057143"
"968","Bcl2","ENSMUSG00000057329"
"969","Chst3","ENSMUSG00000057337"
"970","Lgals8","ENSMUSG00000057554"
"971","Pkn1","ENSMUSG00000057672"
"972","Bak1","ENSMUSG00000057789"
"973","Unc13d","ENSMUSG00000057948"
"974","Eml1","ENSMUSG00000058070"
"975","Nfam1","ENSMUSG00000058099"
"976","H2-M10.3","ENSMUSG00000058124"
"977","Gm13242","ENSMUSG00000058186"
"978","Dock1","ENSMUSG00000058325"
"979","Cxcl2","ENSMUSG00000058427"
"980","Tmod3","ENSMUSG00000058587"
"981","Fcer1g","ENSMUSG00000058715"
"982","Osm","ENSMUSG00000058755"
"983","Thra","ENSMUSG00000058756"
"984","Pirb","ENSMUSG00000058818"
"985","Abi1","ENSMUSG00000058835"
"986","Gzmd","ENSMUSG00000059256"
"987","Eda","ENSMUSG00000059327"
"988","Ptk2b","ENSMUSG00000059456"
"989","Fcgr3","ENSMUSG00000059498"
"990","Trp53","ENSMUSG00000059552"
"991","Tnip2","ENSMUSG00000059866"
"992","Irak4","ENSMUSG00000059883"
"993","Cxcl11","ENSMUSG00000060183"
"994","Sp7","ENSMUSG00000060284"
"995","Trim5","ENSMUSG00000060441"
"996","Irak2","ENSMUSG00000060477"
"997","H2-Q7","ENSMUSG00000060550"
"998","Mfap2","ENSMUSG00000060572"
"999","H2-Eb1","ENSMUSG00000060586"
"1000","Ifitm2","ENSMUSG00000060591"
"1001","B2m","ENSMUSG00000060802"
"1002","Rrs1","ENSMUSG00000061024"
"1003","Blnk","ENSMUSG00000061132"
"1004","H2-K1","ENSMUSG00000061232"
"1005","Exosc5","ENSMUSG00000061286"
"1006","Cxcl12","ENSMUSG00000061353"
"1007","Cracr2a","ENSMUSG00000061414"
"1008","Tmem91","ENSMUSG00000061702"
"1009","Rps17","ENSMUSG00000061787"
"1010","Ssbp3","ENSMUSG00000061887"
"1011","Hsh2d","ENSMUSG00000062007"
"1012","Lilrb4","ENSMUSG00000062593"
"1013","Hist1h2bk","ENSMUSG00000062727"
"1014","Impdh2","ENSMUSG00000062867"
"1015","Atp11c","ENSMUSG00000062949"
"1016","Kdr","ENSMUSG00000062960"
"1017","Cd300lb","ENSMUSG00000063193"
"1018","Zfp35","ENSMUSG00000063281"
"1019","Mapk1","ENSMUSG00000063358"
"1020","Ifna13","ENSMUSG00000063376"
"1021","Cyp26b1","ENSMUSG00000063415"
"1022","Chil4","ENSMUSG00000063779"
"1023","Ccr1l1","ENSMUSG00000064039"
"1024","Arih2","ENSMUSG00000064145"
"1025","Ano6","ENSMUSG00000064210"
"1026","Chil1","ENSMUSG00000064246"
"1027","Siva1","ENSMUSG00000064326"
"1028","Lsm14a","ENSMUSG00000066568"
"1029","Mfsd7b","ENSMUSG00000066595"
"1030","Pilrb1","ENSMUSG00000066684"
"1031","Zbtb16","ENSMUSG00000066687"
"1032","Tnfsf18","ENSMUSG00000066755"
"1033","Rnasel","ENSMUSG00000066800"
"1034","Oas1g","ENSMUSG00000066861"
"1035","Oas1e","ENSMUSG00000066867"
"1036","Nck2","ENSMUSG00000066877"
"1037","H2-T23","ENSMUSG00000067212"
"1038","H2-Q10","ENSMUSG00000067235"
"1039","2010002M12Rik","ENSMUSG00000067297"
"1040","H2-Eb2","ENSMUSG00000067341"
"1041","Lgals1","ENSMUSG00000068220"
"1042","Ptprz1","ENSMUSG00000068748"
"1043","Hist2h2be","ENSMUSG00000068854"
"1044","Cd300lh","ENSMUSG00000069607"
"1045","Irgm2","ENSMUSG00000069874"
"1046","Itgad","ENSMUSG00000070369"
"1047","Il18bp","ENSMUSG00000070427"
"1048","Runx3","ENSMUSG00000070691"
"1049","Rbm47","ENSMUSG00000070780"
"1050","6330408A02Rik","ENSMUSG00000070814"
"1051","Ifna4","ENSMUSG00000070904"
"1052","Gm13288","ENSMUSG00000070908"
"1053","Il1rl2","ENSMUSG00000070942"
"1054","Map3k5","ENSMUSG00000071369"
"1055","Spef2","ENSMUSG00000072663"
"1056","Gm8909","ENSMUSG00000073402"
"1057","H2-Bl","ENSMUSG00000073406"
"1058","H2-Q6","ENSMUSG00000073409"
"1059","H2-D1","ENSMUSG00000073411"
"1060","Lst1","ENSMUSG00000073412"
"1061","C4b","ENSMUSG00000073418"
"1062","H2-Ab1","ENSMUSG00000073421"
"1063","4933415F23Rik","ENSMUSG00000073730"
"1064","Cdkn2b","ENSMUSG00000073802"
"1065","Ifna12","ENSMUSG00000073811"
"1066","Gm13306","ENSMUSG00000073877"
"1067","Ccl27a","ENSMUSG00000073888"
"1068","Il11ra1","ENSMUSG00000073889"
"1069","Rpl13a","ENSMUSG00000074129"
"1070","Nlrc5","ENSMUSG00000074151"
"1071","Ceacam1","ENSMUSG00000074272"
"1072","Mafb","ENSMUSG00000074622"
"1073","Ccl28","ENSMUSG00000074715"
"1074","Ube2n","ENSMUSG00000074781"
"1075","Ifit3","ENSMUSG00000074896"
"1076","Cd80","ENSMUSG00000075122"
"1077","H60b","ENSMUSG00000075297"
"1078","Rc3h2","ENSMUSG00000075376"
"1079","Txnrd2","ENSMUSG00000075704"
"1080","Msrb1","ENSMUSG00000075705"
"1081","Sox4","ENSMUSG00000076431"
"1082","Ighm","ENSMUSG00000076617"
"1083","Ifna2","ENSMUSG00000078354"
"1084","Ifna16","ENSMUSG00000078355"
"1085","Raet1d","ENSMUSG00000078452"
"1086","Bnip3","ENSMUSG00000078566"
"1087","Chd2","ENSMUSG00000078671"
"1088","Tgtp2","ENSMUSG00000078921"
"1089","Tgtp1","ENSMUSG00000078922"
"1090","Naip6","ENSMUSG00000078942"
"1091","Naip2","ENSMUSG00000078945"
"1092","Pms2","ENSMUSG00000079109"
"1093","Tlr5","ENSMUSG00000079164"
"1094","Gzmc","ENSMUSG00000079186"
"1095","Ccr5","ENSMUSG00000079227"
"1096","Clec7a","ENSMUSG00000079293"
"1097","C1s2","ENSMUSG00000079343"
"1098","Gbp6","ENSMUSG00000079362"
"1099","Gbp4","ENSMUSG00000079363"
"1100","H2-T10","ENSMUSG00000079491"
"1101","Gm11127","ENSMUSG00000079492"
"1102","H2-Q1","ENSMUSG00000079507"
"1103","H2-DMb1","ENSMUSG00000079547"
"1104","Hoxa3","ENSMUSG00000079560"
"1105","Maea","ENSMUSG00000079562"
"1106","Rpl39","ENSMUSG00000079641"
"1107","Ulbp1","ENSMUSG00000079685"
"1108","Tnfsf13","ENSMUSG00000089669"
"1109","Flt3l","ENSMUSG00000089989"
"1110","Gimap1","ENSMUSG00000090019"
"1111","Rnf8","ENSMUSG00000090083"
"1112","Cfb","ENSMUSG00000090231"
"1113","H2-Q2","ENSMUSG00000091705"
"1114","Gm7030","ENSMUSG00000092243"
"1115","0","ENSMUSG00000093828"
"1116","Gm13290","ENSMUSG00000094271"
"1117","Gm13271","ENSMUSG00000094618"
"1118","Gm13287","ENSMUSG00000094648"
"1119","Gm13285","ENSMUSG00000095101"
"1120","Ccl27a","ENSMUSG00000095247"
"1121","Ifna9","ENSMUSG00000095270"
"1122","Ifna1","ENSMUSG00000095498"
"1123","Ifna14","ENSMUSG00000095896"
"1124","Ifna15","ENSMUSG00000096011"
"1125","Gm13289","ENSMUSG00000096582"
"1126","Gm13272","ENSMUSG00000096591"
"1127","Ifna5","ENSMUSG00000096682"
"1128","Psmb9","ENSMUSG00000096727"
"1129","Ccl27b","ENSMUSG00000096826"
"1130","Ifnz","ENSMUSG00000096854"
"1131","Tnfsf12","ENSMUSG00000097328"
"1132","C1rb","ENSMUSG00000098470"
